mot,origine,nb_voyelles,longueur
dich,allemand,1,4
eher,allemand,2,4
statt,allemand,1,5
guten,allemand,2,5
stellt,allemand,1,6
musste,allemand,2,6
kleine,allemand,3,6
zweiten,allemand,3,7
nordisch,allemand,2,8
erhalten,allemand,3,8
ebenfalls,allemand,3,9
geschichte,allemand,3,10
verschiedenen,allemand,5,13
moyen,français,3,5
prendre,français,2,7
pouvoir,français,4,7
nouvelle,français,4,8
pourquoi,français,5,8
autrement,français,4,9
politique,français,5,9
conditions,français,4,10
entreprises,français,4,11
information,français,5,11
utilisation,français,6,11
gouvernement,français,5,12
abajoue,français,5,7
